text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
i’m sending this to my kids to prove it’s not just me. we're getting old. give us a break. ,2020-02-16 01:45:35+00:00,,,1228857927810850816,,https://twitter.com/simplylorilee/status/1228857927810850816,0,0,MrColionNoir,
when i lived alone the only difference would have been no steak and half a gallon of probably spoiled milk.,2020-02-15 22:51:00+00:00,,,1228813990350016512,,https://twitter.com/simplylorilee/status/1228813990350016512,0,0,jordylancaster,
 could you do a meme with hillary calling youth super predators with bloomberg’s stop and frisk?,2020-02-15 17:41:39+00:00,,,1228736140112470016,@Solmemes1,https://twitter.com/simplylorilee/status/1228736140112470016,0,0,,
must be good money in being a traitor. her sweater costs about $485.00.,2020-02-14 23:29:58+00:00,,,1228461409102704641,,https://twitter.com/simplylorilee/status/1228461409102704641,0,0,dbongino,
will this be challenged by the fed’s in the supreme court?,2020-02-14 17:44:34+00:00,,,1228374486514388992,,https://twitter.com/simplylorilee/status/1228374486514388992,0,0,tedcruz,
praying. i can’t imagine.,2020-02-14 17:42:33+00:00,,,1228373981184634881,,https://twitter.com/simplylorilee/status/1228373981184634881,0,0,Johnny_Joey,
"biden only decided to run because he “had to” to protect himself and his family from their corruption coming to light. if trump had been removed from office, it would have worked. it would have buried a lot of people’s corruption.",2020-02-14 17:27:26+00:00,,,1228370175558328332,,https://twitter.com/simplylorilee/status/1228370175558328332,0,0,nedryun,
they are all adorable.,2020-02-14 15:22:08+00:00,,,1228338641321242625,,https://twitter.com/simplylorilee/status/1228338641321242625,0,0,JedediahBila,
happy valentines day!,2020-02-14 15:19:14+00:00,,,1228337913139777537,,https://twitter.com/simplylorilee/status/1228337913139777537,0,0,,
,2020-02-14 15:15:54+00:00,,,1228337073909682176,,https://twitter.com/simplylorilee/status/1228337073909682176,0,0,JesseKellyDC,
i’m in love! ,2020-02-13 17:22:39+00:00,,,1228006583659089926,,https://twitter.com/simplylorilee/status/1228006583659089926,0,0,TueborFrog,
i have never been discriminated against for being a woman. i’m not sure what she’s complaining about.,2020-02-13 14:57:21+00:00,,,1227970018803101698,,https://twitter.com/simplylorilee/status/1227970018803101698,0,0,JesseKellyDC,
,2020-02-13 11:50:09+00:00,,,1227922908238012416,,https://twitter.com/simplylorilee/status/1227922908238012416,0,0,FullFrontalSamB,https://youtu.be/GmYcxjrTrmE
"it looks different, not wrong. you are so used to unabated corruption that you don’t recognize basic accountability.",2020-02-13 02:49:13+00:00,,,1227786777194385408,,https://twitter.com/simplylorilee/status/1227786777194385408,0,0,Comey,https://twitter.com/Comey/status/1227764165223354368
"my grandpa was a bee-keeper. nothing like grabbing a hunk of the honeycomb, wax and all and chewing it.",2020-02-13 02:43:20+00:00,,,1227785295577391104,,https://twitter.com/simplylorilee/status/1227785295577391104,0,0,MattWalshBlog,
“ voir dire? “ how in the heck did she sit on this jury?,2020-02-13 02:37:27+00:00,,,1227783816976228354,,https://twitter.com/simplylorilee/status/1227783816976228354,0,0,Cernovich,
caroline is lovely and growing into a fine young lady.,2020-02-12 20:01:26+00:00,,,1227684153640005633,,https://twitter.com/simplylorilee/status/1227684153640005633,0,0,tedcruz,
why?,2020-02-12 19:33:21+00:00,,,1227677087798059011,,https://twitter.com/simplylorilee/status/1227677087798059011,1,0,JaredWOgden,
"insider trading was legal for lawmakers until 2012. i don’t think anyone still ever checks their portfolios, though.",2020-02-12 19:20:17+00:00,,,1227673801137283075,,https://twitter.com/simplylorilee/status/1227673801137283075,0,0,HeyTammyBruce,
